business_id,name,website,current_email,current_logo,niche_slug,city,state_code
b_ontime-service-bir_ham_bama_83915,OnTime Service,https://ontime59.com/?utm_source=GBP&utm_medium=organic,,,plumbing,Birmingham,AL
b_service-experts-bi_ham_bama_42222,Service Experts Birmingham,https://www.norrellserviceexperts.com/,,https://www.serviceexperts.com/images/social-share.jpg.webp,plumbing,Birmingham,AL
b_airnow-home-servic_ery_bama_06797,AirNow Home Services,https://www.airnowhvac.com/,,https://www.airnowhvac.com/assets/Social-Share.jpg,hvac,Montgomery,AL
b_brown-heating-cool_ham_bama_84804,"Brown Heating, Cooling & Plumbing",https://www.brownheatingandcooling.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*53*brown-heating-cooling-hueytown,,,plumbing,Birmingham,AL
b_skelton-s-heating-_ham_bama_33706,"Skelton's Heating, Cooling & Plumbing",https://skeltonsair.com/locations/birmingham-al/home-services/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*180*skeltons-heating-birmingham,,,plumbing,Birmingham,AL
b_roto-rooter-plumbi_ham_bama_01418,Roto-Rooter Plumbing & Water Cleanup,https://www.rotorooter.com/birmingham/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,,https://www.rotorooter.com/favicon.ico,plumbing,Birmingham,AL
b_dixie-electric-plu_ery_bama_52152,"Dixie Electric, Plumbing & Air",http://www.calldixie.com/,info@calldixie.com,https://calldixie.com/wp-content/uploads/2020/11/cropped-SiteIcon-1-32x32.png,plumbing,Montgomery,AL
b_comfort-dynamics-c_ham_bama_61124,"Comfort Dynamics Cooling, Heating, Plumbing & Electrical",http://www.callcomfortdynamics.com/al,,https://irp.cdn-website.com/45fdf47c/site_favicon_16_1742000892645.ico,plumbing,Birmingham,AL
b_k-s-plumbing-birmi_ham_bama_99938,K&S Plumbing,http://ksplumbingal.com/,ksplumbing@yahoo.com,https://static-res-cdn.websites.hibu.com/runtime/favicon_d1_res.ico,plumbing,Birmingham,AL
b_dunn-s-hvac-plumbi_ham_bama_62366,"Dunn's HVAC, Plumbing, & Electrical",https://www.calldunns.com/,,,plumbing,Birmingham,AL
b_standard-heating-c_ham_bama_73601,"Standard Heating, Cooling & Plumbing",https://www.standardheatingandairconditioning.com/?utm_source=google&utm_medium=gbp&se_campaign=GBP,aservice@standardheating.net,https://www.standardheatingandairconditioning.com/wp-content/uploads/2022/07/cropped-fav-32x32.png,plumbing,Birmingham,AL
b_benjamin-franklin-_ham_bama_51227,Benjamin Franklin Plumbing,https://birminghambenjaminfranklin.com/?utm_source=GBP&utm_medium=organic&utm_campaign=birminghamgbp,,,plumbing,Birmingham,AL
b_mister-sparky-birm_ham_bama_05397,Mister Sparky,https://birminghammistersparky.com/?utm_source=GBP&utm_medium=organic&utm_campaign=birminghamgbp,,,electrical,Birmingham,AL
b_myers-comfort-spec_ham_bama_37189,Myers Comfort Specialists of Birmingham,http://www.myerscomfort.com/,info@myerscomfort.com,https://www.myerscomfort.com/favicon-light.ico,hvac,Birmingham,AL
b_one-hour-air-condi_ham_bama_75850,One Hour Air Conditioning & Heating,https://birminghamonehour.com/?utm_source=GBP&utm_medium=organic&utm_campaign=birminghamgbp,,,hvac,Birmingham,AL
b_xcalibur-services-_ham_bama_87392,Xcalibur Services,https://xcaliburservice.com/?utm_source=Google&utm_medium=GMB&utm_campaign=Google_Business_Profile,,,electrical,Birmingham,AL
b_draingo-of-alabama_ham_bama_85593,Draingo Of Alabama LLC,https://draingoal.com/?utm_source=google&utm_medium=gbp-birmingham,,https://draingoal.com/wp-content/uploads/2026/06/wisetack-logo.png,plumbing,Birmingham,AL
b_mr-electric-of-mon_ery_bama_55763,Mr. Electric of Montgomery,https://mrelectric.com/montgomery-al,,,plumbing,Montgomery,AL
b_mr-drippy-plumbing_ham_bama_09718,"Mr. Drippy Plumbing | Plumber, Sewer Line Repair, Tankless Water Heater Repair & Water Damage Restoration Birmingham, AL",https://mrdrippyplumbing.com/?utm_source=google&utm_medium=search_engine&utm_campaign=gmb,service@mrdrippyplumbing.com,https://mrdrippyplumbing.com/wp-content/uploads/2024/01/Favicon-150x150.png,plumbing,Birmingham,AL
b_perfect-service-he_ham_bama_56876,Perfect Service Heating & Air,https://www.perfecthvac.com/service-areas/trussville-al-hvac-company/,info@perfectservicehvac.com,https://www.perfecthvac.com/wp-content/uploads/cropped-perfet-service-favicon-1-32x32.png,hvac,Birmingham,AL
b_mr-electric-of-bir_ham_bama_18870,Mr. Electric of Birmingham,https://mrelectric.com/birmingham,,,electrical,Birmingham,AL
b_guin-service-llc-b_ham_bama_95295,"Guin Service, LLC",https://www.guinservice.com/?utm_source=gbp&utm_medium=organic,,https://www.guinservice.com/images/social.jpg,plumbing,Birmingham,AL
b_service-care-inc-b_ham_bama_55250,"Service Care, Inc.",https://www.servicecare.net/?UTM_source=GMB_listing&UTM_medium=organic,,,electrical,Birmingham,AL
b_capital-comfort-se_ham_bama_72112,Capital Comfort Services,http://www.capitalcomfort.com/,you@someplace.com,https://iuguoryuevjnmdejvwes.supabase.co/storage/v1/object/public/logos/logos/b_capital-comfort-se_ham_bama_72112.png,hvac,Birmingham,AL
b_wilbur-s-air-condi_ham_bama_30251,"Wilbur's Air Conditioning, Heating & Plumbing",https://wilbur1.com/,,https://wilbur1.com/wp-content/uploads/2026/05/favicon-150x150.png,plumbing,Birmingham,AL
b_w-c-wright-and-son_ham_bama_66669,"W.C. Wright And Son, Inc",https://wcwright.com/,,https://iuguoryuevjnmdejvwes.supabase.co/storage/v1/object/public/logos/logos/b_w-c-wright-and-son_ham_bama_66669.png,hvac,Birmingham,AL
b_window-world-of-ce_ham_bama_12937,Window World of Central Alabama,https://www.windowworldalabama.com/,,,kitchen-remodeling,Birmingham,AL
b_chad-s-ac-direct-m_ery_bama_97570,Chad's AC Direct,https://www.chadsacdirect.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-profile-montgomery,,https://www.chadsacdirect.com/wp-content/uploads/2017/08/cropped-chads-favi-32x32.png,plumbing,Montgomery,AL
